ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	group
GO:0031492	GO:0031492	nucleosomal DNA binding	5/581	21/5111	0.0814730782573889	0.570732893260857	0.536138204752611	H1-5/H1-3/MTA2/CHD4/HDAC2	5	go_mf
GO:0000175	GO:0000175	3'-5'-exoribonuclease activity	4/581	15/5111	0.0815332704658368	0.570732893260857	0.536138204752611	EXOSC9/ISG20/EXOSC7/CNOT1	4	go_mf
GO:0005547	GO:0005547	phosphatidylinositol-3,4,5-trisphosphate binding	4/581	15/5111	0.0815332704658368	0.570732893260857	0.536138204752611	IQGAP2/IQGAP1/ARAP1/MYO1B	4	go_mf
GO:0019001	GO:0019001	guanyl nucleotide binding	29/581	197/5111	0.0844302840226208	0.576770735431638	0.541810066143895	GBP1/RAB27A/GIMAP5/PCK2/RAC2/MX1/GBP2/SAMHD1/GIMAP4/TUBB6/RAB35/SEPTIN9/GIMAP8/DDX58/NOLC1/RHOT2/GIMAP1/RAB8B/RHOG/RRAD/EHD4/EHD1/GUCY1B1/ARL2/EHD3/ARF6/GLUD1/CIITA/GNA13	29	go_mf
GO:0032561	GO:0032561	guanyl ribonucleotide binding	29/581	197/5111	0.0844302840226208	0.576770735431638	0.541810066143895	GBP1/RAB27A/GIMAP5/PCK2/RAC2/MX1/GBP2/SAMHD1/GIMAP4/TUBB6/RAB35/SEPTIN9/GIMAP8/DDX58/NOLC1/RHOT2/GIMAP1/RAB8B/RHOG/RRAD/EHD4/EHD1/GUCY1B1/ARL2/EHD3/ARF6/GLUD1/CIITA/GNA13	29	go_mf
GO:0004540	GO:0004540	ribonuclease activity	9/581	48/5111	0.0881141457689426	0.579350581832697	0.544233536447312	EXOSC9/SAMHD1/ISG20/EXOSC7/FEN1/CPSF3/DCPS/SND1/CNOT1	9	go_mf
GO:0008238	GO:0008238	exopeptidase activity	10/581	55/5111	0.0883019493095252	0.579350581832697	0.544233536447312	ERAP2/CPA3/LAP3/CTSC/CPVL/CPQ/ERAP1/ACE/CNDP2/ZMPSTE24	10	go_mf
GO:0003823	GO:0003823	antigen binding	12/581	70/5111	0.0942651060452369	0.579350581832697	0.544233536447312	HLA-DQB1/HLA-F/HLA-C/HLA-B/TAP1/TAP2/HLA-DRB1/HLA-DPA1/IGHV5-10-1/HLA-A/TAPBP/HLA-DRA	12	go_mf
GO:0048029	GO:0048029	monosaccharide binding	7/581	35/5111	0.0949442930958367	0.579350581832697	0.544233536447312	MRC1/P3H1/PFKP/IGF2R/PFKL/DPM1/TALDO1	7	go_mf
GO:0005154	GO:0005154	epidermal growth factor receptor binding	3/581	10/5111	0.095468756932175	0.579350581832697	0.544233536447312	SNX4/SNX1/SNX2	3	go_mf
GO:0017134	GO:0017134	fibroblast growth factor binding	3/581	10/5111	0.095468756932175	0.579350581832697	0.544233536447312	S100A13/GLG1/API5	3	go_mf
GO:0042288	GO:0042288	MHC class I protein binding	3/581	10/5111	0.095468756932175	0.579350581832697	0.544233536447312	TAP1/TAP2/TAPBP	3	go_mf
GO:0070034	GO:0070034	telomerase RNA binding	3/581	10/5111	0.095468756932175	0.579350581832697	0.544233536447312	NOP10/DKC1/GAR1	3	go_mf
GO:0098641	GO:0098641	cadherin binding involved in cell-cell adhesion	3/581	10/5111	0.095468756932175	0.579350581832697	0.544233536447312	TMOD3/S100A11/CNN3	3	go_mf
GO:0001216	GO:0001216	DNA-binding transcription activator activity	5/581	22/5111	0.0960475391398123	0.579350581832697	0.544233536447312	NFKB2/STAT6/CDC5L/NFKB1/RELA	5	go_mf
GO:0001228	GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	5/581	22/5111	0.0960475391398123	0.579350581832697	0.544233536447312	NFKB2/STAT6/CDC5L/NFKB1/RELA	5	go_mf
GO:0003697	GO:0003697	single-stranded DNA binding	9/581	49/5111	0.0976569072380074	0.580821153318295	0.545614969978757	SAMHD1/RECQL/TOP1/WBP11/TERF2/FUBP3/RAD50/FUBP1/MCM7	9	go_mf
GO:0000339	GO:0000339	RNA cap binding	4/581	16/5111	0.099364465382495	0.580821153318295	0.545614969978757	IFIT5/CYFIP1/NCBP1/DCPS	4	go_mf
GO:0036002	GO:0036002	pre-mRNA binding	4/581	16/5111	0.099364465382495	0.580821153318295	0.545614969978757	PTBP1/DDX5/SRSF2/PRPF8	4	go_mf
GO:0004518	GO:0004518	nuclease activity	12/581	71/5111	0.102373615500204	0.592304489679754	0.556402249657395	EXOSC9/SAMHD1/ISG20/PLD3/XRCC1/EXOSC7/FEN1/RAD50/CPSF3/DCPS/SND1/CNOT1	12	go_mf
GO:0046983	GO:0046983	protein dimerization activity	48/581	354/5111	0.105649856196149	0.605085540032492	0.568408583043611	GBP1/TYMP/PDCD10/STAT1/HPGDS/TAP1/GLA/CORO1A/STK10/S100A16/S100A13/GBP2/B2M/TP53I3/QTRT1/CYBB/S100A11/TRIM21/PML/S100A6/SRGAP2/NUDT5/CYBA/GLIPR2/CPQ/TMEM192/WARS1/HM13/NOLC1/TPM4/ALDH1A3/TERF2/SNX1/PPCS/SHMT2/NUDT21/TBC1D22A/SFPQ/ABCD1/ATP1A1/CPOX/RELA/SNX2/SRM/ABCD3/SCARB2/EEA1/TOP2B	48	go_mf
GO:0003730	GO:0003730	mRNA 3'-UTR binding	9/581	50/5111	0.107772946164147	0.606789029824045	0.570008816654538	EXOSC9/KHSRP/DDX5/RNPS1/NUDT21/HNRNPA0/ILF3/RSL1D1/HNRNPD	9	go_mf
GO:0022836	GO:0022836	gated channel activity	8/581	43/5111	0.108087640233207	0.606789029824045	0.570008816654538	KCNAB2/NOX1/HVCN1/CYBB/CLIC2/CLIC1/ITPR1/CLIC4	8	go_mf
GO:0005200	GO:0005200	structural constituent of cytoskeleton	12/581	72/5111	0.110885432133453	0.61639254921243	0.579030223524533	HLA-DRB1/ARPC1B/TUBB6/EPB41L3/ACTR2/ARPC2/ARPC4/ADD3/MSN/ACTR3/ARPC3/CD2AP	12	go_mf
GO:0042626	GO:0042626	ATPase-coupled transmembrane transporter activity	7/581	37/5111	0.119712440565076	0.639218544940111	0.600472632952188	TAP1/TAP2/TAPBP/ATP6V1C1/ABCD1/ATP1A1/ABCD3	7	go_mf
GO:0000340	GO:0000340	RNA 7-methylguanosine cap binding	3/581	11/5111	0.12062854375413	0.639218544940111	0.600472632952188	CYFIP1/NCBP1/DCPS	3	go_mf
GO:0001091	GO:0001091	RNA polymerase II general transcription initiation factor binding	3/581	11/5111	0.12062854375413	0.639218544940111	0.600472632952188	NOLC1/FBL/NOP58	3	go_mf
GO:0005254	GO:0005254	chloride channel activity	3/581	11/5111	0.12062854375413	0.639218544940111	0.600472632952188	CLIC2/CLIC1/CLIC4	3	go_mf
GO:0042379	GO:0042379	chemokine receptor binding	3/581	11/5111	0.12062854375413	0.639218544940111	0.600472632952188	STAT1/NES/JAK1	3	go_mf
GO:0043565	GO:0043565	sequence-specific DNA binding	23/581	158/5111	0.125503562888237	0.658893705163245	0.618955193191501	NFKB2/STAT1/CHTOP/STAT2/MTA2/LMNB1/STAT6/TOP1/SAFB2/TP53BP1/TERF2/THRAP3/CCAR1/SFPQ/CDC5L/NFKB1/HDAC2/RAD50/SMARCA2/RELA/CIITA/XRCC5/HNRNPD	23	go_mf
GO:0038024	GO:0038024	cargo receptor activity	5/581	24/5111	0.128802462006916	0.670009137228637	0.629396868908735	FOLR2/CD163/MRC1/LGALS3BP/SCARB2	5	go_mf
GO:0004553	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	6/581	31/5111	0.132629142779563	0.683642945054658	0.642204270301043	GM2A/MAN1A1/GLA/GUSB/NAGLU/MOGS	6	go_mf
GO:0016757	GO:0016757	glycosyltransferase activity	10/581	60/5111	0.13756354324811	0.701370962165485	0.658857712532694	TYMP/PARP4/QTRT1/PARP9/PARP10/COLGALT1/TMTC3/GXYLT1/ALG5/DPM1	10	go_mf
GO:0008187	GO:0008187	poly-pyrimidine tract binding	4/581	18/5111	0.139779398103527	0.701370962165485	0.658857712532694	IFIT5/PTBP1/SSB/KHDRBS1	4	go_mf
GO:0140296	GO:0140296	general transcription initiation factor binding	4/581	18/5111	0.139779398103527	0.701370962165485	0.658857712532694	NOLC1/FBL/NOP58/RELA	4	go_mf
GO:0004520	GO:0004520	endodeoxyribonuclease activity	3/581	12/5111	0.147894297917479	0.701802768953682	0.659263345568668	XRCC1/FEN1/RAD50	3	go_mf
GO:0004715	GO:0004715	non-membrane spanning protein tyrosine kinase activity	3/581	12/5111	0.147894297917479	0.701802768953682	0.659263345568668	CSK/EIF2AK2/JAK1	3	go_mf
GO:0005158	GO:0005158	insulin receptor binding	3/581	12/5111	0.147894297917479	0.701802768953682	0.659263345568668	SNX4/SNX1/SNX2	3	go_mf
GO:0005501	GO:0005501	retinoid binding	3/581	12/5111	0.147894297917479	0.701802768953682	0.659263345568668	CRABP2/PTGDS/IGF2R	3	go_mf
GO:0016814	GO:0016814	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines	3/581	12/5111	0.147894297917479	0.701802768953682	0.659263345568668	ADA/ADAR/AMPD3	3	go_mf
GO:0019840	GO:0019840	isoprenoid binding	3/581	12/5111	0.147894297917479	0.701802768953682	0.659263345568668	CRABP2/PTGDS/IGF2R	3	go_mf
GO:0070851	GO:0070851	growth factor receptor binding	6/581	32/5111	0.148529686551044	0.701802768953682	0.659263345568668	SNX4/ERAP1/SNX1/CD2AP/NCSTN/SNX2	6	go_mf
GO:0097718	GO:0097718	disordered domain specific binding	4/581	19/5111	0.162075690685449	0.759478649740906	0.713443231725421	EZR/AP2A2/AP2M1/CLTC	4	go_mf
GO:0005044	GO:0005044	scavenger receptor activity	3/581	13/5111	0.17690433311791	0.796069499030595	0.747816145009711	CD163/LGALS3BP/SCARB2	3	go_mf
GO:0008093	GO:0008093	cytoskeletal anchor activity	3/581	13/5111	0.17690433311791	0.796069499030595	0.747816145009711	MAP1A/EPB41L3/OBSL1	3	go_mf
GO:0008483	GO:0008483	transaminase activity	3/581	13/5111	0.17690433311791	0.796069499030595	0.747816145009711	ABAT/GFPT2/GFPT1	3	go_mf
GO:0019200	GO:0019200	carbohydrate kinase activity	3/581	13/5111	0.17690433311791	0.796069499030595	0.747816145009711	PFKP/NAGK/PFKL	3	go_mf
GO:0019239	GO:0019239	deaminase activity	3/581	13/5111	0.17690433311791	0.796069499030595	0.747816145009711	ADA/ADAR/AMPD3	3	go_mf
GO:0098632	GO:0098632	cell-cell adhesion mediator activity	4/581	20/5111	0.185552314054706	0.823302987851105	0.773398889543598	TMOD3/S100A11/CNN3/CD47	4	go_mf
GO:0046332	GO:0046332	SMAD binding	5/581	27/5111	0.185860286499015	0.823302987851105	0.773398889543598	ANKRD1/PML/DDX5/RANBP3/SNW1	5	go_mf
GO:0031490	GO:0031490	chromatin DNA binding	6/581	35/5111	0.200864680177913	0.857957123090322	0.8059524817297	H1-5/H1-3/MTA2/CHD4/HDAC2/RELA	6	go_mf
GO:0050661	GO:0050661	NADP binding	6/581	35/5111	0.200864680177913	0.857957123090322	0.8059524817297	NOX1/FMO3/TP53I3/GMDS/CBR3/GSR	6	go_mf
GO:0016779	GO:0016779	nucleotidyltransferase activity	8/581	50/5111	0.202119532093348	0.857957123090322	0.8059524817297	OAS2/NUDT5/UAP1L1/DKC1/TERF2/NANS/CMAS/POLR2B	8	go_mf
GO:0003756	GO:0003756	protein disulfide isomerase activity	3/581	14/5111	0.207301809282847	0.857957123090322	0.8059524817297	PDIA5/PDIA4/PDIA3	3	go_mf
GO:0004629	GO:0004629	phospholipase C activity	3/581	14/5111	0.207301809282847	0.857957123090322	0.8059524817297	PLCB2/PLCG2/PDIA3	3	go_mf
GO:0016411	GO:0016411	acylglycerol O-acyltransferase activity	3/581	14/5111	0.207301809282847	0.857957123090322	0.8059524817297	LPCAT2/LCLAT1/PLA2G15	3	go_mf
GO:0016769	GO:0016769	transferase activity, transferring nitrogenous groups	3/581	14/5111	0.207301809282847	0.857957123090322	0.8059524817297	ABAT/GFPT2/GFPT1	3	go_mf
GO:0016864	GO:0016864	intramolecular oxidoreductase activity, transposing S-S bonds	3/581	14/5111	0.207301809282847	0.857957123090322	0.8059524817297	PDIA5/PDIA4/PDIA3	3	go_mf
GO:0042287	GO:0042287	MHC protein binding	3/581	14/5111	0.207301809282847	0.857957123090322	0.8059524817297	TAP1/TAP2/TAPBP	3	go_mf
GO:0017111	GO:0017111	nucleoside-triphosphatase activity	39/581	302/5111	0.215418888029084	0.885090648641238	0.831441322217519	GBP1/RAB27A/RAC2/MX1/DHX40/GBP2/DDX24/TUBB6/DDX46/RECQL/RAB35/DHX32/SEPTIN9/ARHGDIB/DDX58/ASCC3/RHOT2/RAB8B/RHOG/DDX5/RRAD/SMARCA5/CHD4/HSP90B1/ABCD1/HYOU1/DHX15/EIF4A3/RAD50/SMARCA2/ARL2/MTREX/DHX30/ARF6/SNRNP200/ABCD3/GNA13/MCM7/DHX38	39	go_mf
GO:0030674	GO:0030674	protein-macromolecule adaptor activity	19/581	138/5111	0.218048051014485	0.889447805217362	0.835534371929797	VAMP8/MAP1A/EPS8/IQGAP1/AP2S1/EPB41L3/NOLC1/SYNE3/ARPC4/AP2A2/STON2/AP2M1/SRRT/RAD50/NCSTN/KHDRBS1/STX7/HCFC1/OBSL1	19	go_mf
GO:0005048	GO:0005048	signal sequence binding	5/581	29/5111	0.228135779700576	0.923949907787332	0.867945146830762	POM121/NOLC1/AP2M1/SEC61A1/IPO4	5	go_mf
GO:0060090	GO:0060090	molecular adaptor activity	23/581	172/5111	0.231302133440021	0.92813875200127	0.8718800863504	VAMP8/MAP1A/EPS8/IQGAP1/AP2S1/SEPTIN9/EPB41L3/NOLC1/SYNE3/ARPC4/AP2A2/STON2/AP2M1/SRRT/ITSN1/RAD50/ANAPC1/NCSTN/KHDRBS1/STX7/HCFC1/OBSL1/CNOT1	23	go_mf
GO:0030374	GO:0030374	nuclear receptor coactivator activity	4/581	22/5111	0.235373547533062	0.92813875200127	0.8718800863504	THRAP3/CCAR1/MED1/CCAR2	4	go_mf
GO:0005253	GO:0005253	anion channel activity	3/581	15/5111	0.238743943987099	0.92813875200127	0.8718800863504	CLIC2/CLIC1/CLIC4	3	go_mf
GO:0008266	GO:0008266	poly(U) RNA binding	3/581	15/5111	0.238743943987099	0.92813875200127	0.8718800863504	IFIT5/SSB/KHDRBS1	3	go_mf
GO:0015108	GO:0015108	chloride transmembrane transporter activity	3/581	15/5111	0.238743943987099	0.92813875200127	0.8718800863504	CLIC2/CLIC1/CLIC4	3	go_mf
GO:0016860	GO:0016860	intramolecular oxidoreductase activity	6/581	37/5111	0.238991636317787	0.92813875200127	0.8718800863504	HPGDS/PTGDS/PDIA5/PDIA4/TBXAS1/PDIA3	6	go_mf
GO:0030246	GO:0030246	carbohydrate binding	13/581	92/5111	0.242202404359765	0.929077213116737	0.872761663115323	HLA-DRB1/HLA-DRA/LGALS3/MRC1/P3H1/PFKP/MRC2/GUSB/IGF2R/CALR/PFKL/DPM1/TALDO1	13	go_mf
GO:0000981	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	7/581	45/5111	0.245787622517655	0.929077213116737	0.872761663115323	NFKB2/STAT1/STAT2/STAT6/CDC5L/NFKB1/RELA	7	go_mf
GO:0004197	GO:0004197	cysteine-type endopeptidase activity	7/581	45/5111	0.245787622517655	0.929077213116737	0.872761663115323	CTSC/CAPN5/LGMN/CASP7/CTSB/CASP3/PDIA3	7	go_mf
GO:0016798	GO:0016798	hydrolase activity, acting on glycosyl bonds	7/581	45/5111	0.245787622517655	0.929077213116737	0.872761663115323	GM2A/MAN1A1/GLA/MPG/GUSB/NAGLU/MOGS	7	go_mf
GO:0008047	GO:0008047	enzyme activator activity	27/581	209/5111	0.26549353598429	0.973040129894796	0.914059789709025	GM2A/ARHGAP25/NCF2/RAP1GDS1/DOCK2/IQGAP2/PSME2/ARHGEF1/GIT1/CTSC/PSME1/IQGAP1/SRGAP2/ARAP1/ARHGDIB/PPP4R3A/SH3PXD2B/ARRB1/RIN1/RANBP3/MARK2/ARHGAP1/TBC1D22A/CASP3/RPS27L/XRCC5/TBC1D15	27	go_mf
GO:0016853	GO:0016853	isomerase activity	13/581	94/5111	0.267206962375498	0.973040129894796	0.914059789709025	HPGDS/PTGDS/TOP1/DKC1/PPIB/PDIA5/FKBP15/PDIA4/FKBP9/PGM2/TBXAS1/PDIA3/TOP2B	13	go_mf
GO:0000978	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	9/581	62/5111	0.268352259512302	0.973040129894796	0.914059789709025	NFKB2/STAT1/STAT2/STAT6/TOP1/THRAP3/CCAR1/NFKB1/RELA	9	go_mf
GO:0008139	GO:0008139	nuclear localization sequence binding	3/581	16/5111	0.270908439049701	0.973040129894796	0.914059789709025	POM121/NOLC1/IPO4	3	go_mf
GO:0050750	GO:0050750	low-density lipoprotein particle receptor binding	3/581	16/5111	0.270908439049701	0.973040129894796	0.914059789709025	AP2M1/HSP90B1/CLTC	3	go_mf
GO:0051059	GO:0051059	NF-kappaB binding	3/581	16/5111	0.270908439049701	0.973040129894796	0.914059789709025	PDCD11/HDAC2/RELA	3	go_mf
GO:0071889	GO:0071889	14-3-3 protein binding	3/581	16/5111	0.270908439049701	0.973040129894796	0.914059789709025	ARRB2/HLA-F/TBC1D22A	3	go_mf
GO:0008081	GO:0008081	phosphoric diester hydrolase activity	5/581	31/5111	0.272863105208593	0.973040129894796	0.914059789709025	PLCB2/PLD3/PLCG2/PDIA3/CNP	5	go_mf
GO:0017069	GO:0017069	snRNA binding	5/581	31/5111	0.272863105208593	0.973040129894796	0.914059789709025	ISG20/SNRPA1/SART3/SF3B3/PRPF8	5	go_mf
GO:0004620	GO:0004620	phospholipase activity	6/581	39/5111	0.279068807722954	0.98895008736822	0.92900537307773	PLCB2/PLD3/PLCG2/ABHD12/PDIA3/PLA2G15	6	go_mf
GO:0019903	GO:0019903	protein phosphatase binding	10/581	71/5111	0.283881900336607	0.989312199272757	0.929345535750516	STAT1/CDC27/MVP/LGALS3/STAT6/IQGAP1/CSK/HSP90B1/AP3B1/JAK1	10	go_mf
GO:0001221	GO:0001221	transcription coregulator binding	4/581	24/5111	0.287895084444453	0.989312199272757	0.929345535750516	STAT1/CHD4/MED1/RELA	4	go_mf
GO:0001786	GO:0001786	phosphatidylserine binding	4/581	24/5111	0.287895084444453	0.989312199272757	0.929345535750516	GSDMD/OSBPL8/FCHO2/SCARB2	4	go_mf
GO:0016504	GO:0016504	peptidase activator activity	4/581	24/5111	0.287895084444453	0.989312199272757	0.929345535750516	PSME2/CTSC/PSME1/RPS27L	4	go_mf
GO:0016597	GO:0016597	amino acid binding	4/581	24/5111	0.287895084444453	0.989312199272757	0.929345535750516	CAD/SHMT2/ASS1/GLUD1	4	go_mf
GO:0019902	GO:0019902	phosphatase binding	12/581	88/5111	0.29527882430628	0.990479766326782	0.930442331312265	STAT1/PPP1R18/CDC27/MVP/LGALS3/CTSC/STAT6/IQGAP1/CSK/HSP90B1/AP3B1/JAK1	12	go_mf
GO:0016772	GO:0016772	transferase activity, transferring phosphorus-containing groups	39/581	314/5111	0.29806210232143	0.990479766326782	0.930442331312265	OAS2/GAK/STK10/DCLK1/SHPK/CMPK2/AAK1/CAD/NUDT5/PFKP/TOP1/UAP1L1/CKB/DKC1/PIP4K2C/CSK/TERF2/ADPGK/TAOK3/EIF2AK2/CASK/TRIM28/PIK3C3/MARK2/NANS/IGF2R/NAGK/CMAS/RPS6KA5/CDC42BPB/DGKZ/TNIK/DMPK/PRKDC/JAK1/PFKL/CIITA/POLR2B/PRKCA	39	go_mf
GO:0003727	GO:0003727	single-stranded RNA binding	7/581	48/5111	0.301130380299546	0.990479766326782	0.930442331312265	IFIT5/DDX58/PTBP1/SSB/ILF3/EIF4A3/KHDRBS1	7	go_mf
GO:0070006	GO:0070006	metalloaminopeptidase activity	3/581	17/5111	0.30349770565792	0.990479766326782	0.930442331312265	ERAP2/LAP3/ERAP1	3	go_mf
GO:0008374	GO:0008374	O-acyltransferase activity	4/581	25/5111	0.314761241022595	0.990479766326782	0.930442331312265	LPCAT2/CPT1A/LCLAT1/PLA2G15	4	go_mf
GO:0000976	GO:0000976	transcription cis-regulatory region binding	14/581	106/5111	0.316075356319873	0.990479766326782	0.930442331312265	NFKB2/STAT1/STAT2/STAT6/TOP1/THRAP3/CCAR1/SFPQ/CDC5L/NFKB1/SMARCA2/RELA/CIITA/XRCC5	14	go_mf
GO:0004298	GO:0004298	threonine-type endopeptidase activity	2/581	10/5111	0.317126913372234	0.990479766326782	0.930442331312265	PSMB9/PSMB8	2	go_mf
GO:0015171	GO:0015171	amino acid transmembrane transporter activity	2/581	10/5111	0.317126913372234	0.990479766326782	0.930442331312265	SFXN3/SLC3A2	2	go_mf
GO:0016505	GO:0016505	peptidase activator activity involved in apoptotic process	2/581	10/5111	0.317126913372234	0.990479766326782	0.930442331312265	CTSC/RPS27L	2	go_mf
GO:0031683	GO:0031683	G-protein beta/gamma-subunit complex binding	2/581	10/5111	0.317126913372234	0.990479766326782	0.930442331312265	PLCB2/GNA13	2	go_mf
GO:0032794	GO:0032794	GTPase activating protein binding	2/581	10/5111	0.317126913372234	0.990479766326782	0.930442331312265	FMNL1/FMNL3	2	go_mf
GO:0050145	GO:0050145	nucleoside monophosphate kinase activity	2/581	10/5111	0.317126913372234	0.990479766326782	0.930442331312265	CMPK2/CASK	2	go_mf
GO:0017022	GO:0017022	myosin binding	5/581	33/5111	0.319217546867689	0.990479766326782	0.930442331312265	RAB27A/CORO1A/ARFGEF2/GSN/ARFGEF1	5	go_mf
GO:0003700	GO:0003700	DNA-binding transcription factor activity	7/581	49/5111	0.320148097292025	0.990479766326782	0.930442331312265	NFKB2/STAT1/STAT2/STAT6/CDC5L/NFKB1/RELA	7	go_mf
GO:0016462	GO:0016462	pyrophosphatase activity	41/581	334/5111	0.320159822068316	0.990479766326782	0.930442331312265	GBP1/RAB27A/RAC2/MX1/DHX40/GBP2/DDX24/TUBB6/DDX46/NUDT5/RECQL/RAB35/DHX32/SEPTIN9/ARHGDIB/DDX58/ASCC3/RHOT2/RAB8B/RHOG/DDX5/RRAD/SMARCA5/CHD4/HSP90B1/ABCD1/HYOU1/DHX15/EIF4A3/RAD50/SMARCA2/ARL2/MTREX/DHX30/DCPS/ARF6/SNRNP200/ABCD3/GNA13/MCM7/DHX38	41	go_mf
GO:0048018	GO:0048018	receptor ligand activity	6/581	41/5111	0.320524753750633	0.990479766326782	0.930442331312265	IL16/TYMP/LGALS3/CTSG/MANF/COPA	6	go_mf
GO:0048306	GO:0048306	calcium-dependent protein binding	6/581	41/5111	0.320524753750633	0.990479766326782	0.930442331312265	S100A16/S100A13/S100A11/S100A4/S100A6/SEC31A	6	go_mf
GO:0001067	GO:0001067	transcription regulatory region nucleic acid binding	14/581	107/5111	0.32898704099676	0.990479766326782	0.930442331312265	NFKB2/STAT1/STAT2/STAT6/TOP1/THRAP3/CCAR1/SFPQ/CDC5L/NFKB1/SMARCA2/RELA/CIITA/XRCC5	14	go_mf
GO:0000977	GO:0000977	RNA polymerase II transcription regulatory region sequence-specific DNA binding	10/581	74/5111	0.33004739562947	0.990479766326782	0.930442331312265	NFKB2/STAT1/STAT2/STAT6/TOP1/THRAP3/CCAR1/CDC5L/NFKB1/RELA	10	go_mf
GO:0016817	GO:0016817	hydrolase activity, acting on acid anhydrides	41/581	336/5111	0.334970169101914	0.990479766326782	0.930442331312265	GBP1/RAB27A/RAC2/MX1/DHX40/GBP2/DDX24/TUBB6/DDX46/NUDT5/RECQL/RAB35/DHX32/SEPTIN9/ARHGDIB/DDX58/ASCC3/RHOT2/RAB8B/RHOG/DDX5/RRAD/SMARCA5/CHD4/HSP90B1/ABCD1/HYOU1/DHX15/EIF4A3/RAD50/SMARCA2/ARL2/MTREX/DHX30/DCPS/ARF6/SNRNP200/ABCD3/GNA13/MCM7/DHX38	41	go_mf
GO:0016818	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	41/581	336/5111	0.334970169101914	0.990479766326782	0.930442331312265	GBP1/RAB27A/RAC2/MX1/DHX40/GBP2/DDX24/TUBB6/DDX46/NUDT5/RECQL/RAB35/DHX32/SEPTIN9/ARHGDIB/DDX58/ASCC3/RHOT2/RAB8B/RHOG/DDX5/RRAD/SMARCA5/CHD4/HSP90B1/ABCD1/HYOU1/DHX15/EIF4A3/RAD50/SMARCA2/ARL2/MTREX/DHX30/DCPS/ARF6/SNRNP200/ABCD3/GNA13/MCM7/DHX38	41	go_mf
GO:0008194	GO:0008194	UDP-glycosyltransferase activity	3/581	18/5111	0.3362413671688	0.990479766326782	0.930442331312265	COLGALT1/GXYLT1/ALG5	3	go_mf
GO:0016810	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	7/581	50/5111	0.339362049766227	0.990479766326782	0.930442331312265	MTA2/CAD/ADA/ADAR/GLS/AMPD3/HDAC2	7	go_mf
GO:0016773	GO:0016773	phosphotransferase activity, alcohol group as acceptor	28/581	226/5111	0.341266795970733	0.990479766326782	0.930442331312265	GAK/STK10/DCLK1/SHPK/AAK1/CAD/PFKP/TOP1/PIP4K2C/CSK/ADPGK/TAOK3/EIF2AK2/CASK/TRIM28/PIK3C3/MARK2/IGF2R/RPS6KA5/CDC42BPB/DGKZ/TNIK/DMPK/PRKDC/JAK1/PFKL/CIITA/PRKCA	28	go_mf
GO:0015035	GO:0015035	protein-disulfide reductase activity	4/581	26/5111	0.341827407506982	0.990479766326782	0.930442331312265	PDIA5/PDIA4/PDIA3/GSR	4	go_mf
GO:0098631	GO:0098631	cell adhesion mediator activity	4/581	26/5111	0.341827407506982	0.990479766326782	0.930442331312265	TMOD3/S100A11/CNN3/CD47	4	go_mf
GO:0004175	GO:0004175	endopeptidase activity	18/581	142/5111	0.347462420926539	0.990479766326782	0.930442331312265	PSMB9/PSMB8/PROZ/ERAP2/CMA1/CTSG/CTSC/CAPN5/LGMN/CASP7/HM13/CTSB/ERAP1/ACE/CASP3/PDIA3/NCSTN/ZMPSTE24	18	go_mf
GO:0005509	GO:0005509	calcium ion binding	28/581	227/5111	0.35037722606946	0.990479766326782	0.930442331312265	PLCB2/MAN1A1/HPGDS/ADGRE5/S100A16/LCP1/S100A13/PROZ/EFHD2/LPCAT2/S100A11/S100A4/IQGAP1/S100A6/RHOT2/TPM4/FKBP9/ITPR1/EHD4/HSP90B1/MACF1/GSN/HMCN2/EHD1/ITSN1/RCN1/CALR/EHD3	28	go_mf
GO:0043177	GO:0043177	organic acid binding	8/581	59/5111	0.354445897685869	0.990479766326782	0.930442331312265	FOLR2/CRABP2/CAD/P3H1/SHMT2/IGF2R/ASS1/GLUD1	8	go_mf
GO:0004672	GO:0004672	protein kinase activity	22/581	177/5111	0.360194361388186	0.990479766326782	0.930442331312265	GAK/STK10/DCLK1/AAK1/CAD/TOP1/CSK/TAOK3/EIF2AK2/CASK/TRIM28/PIK3C3/MARK2/IGF2R/RPS6KA5/CDC42BPB/TNIK/DMPK/PRKDC/JAK1/CIITA/PRKCA	22	go_mf
GO:0004622	GO:0004622	lysophospholipase activity	2/581	11/5111	0.360793217731813	0.990479766326782	0.930442331312265	ABHD12/PLA2G15	2	go_mf
GO:0005521	GO:0005521	lamin binding	2/581	11/5111	0.360793217731813	0.990479766326782	0.930442331312265	TMPO/TOR1AIP1	2	go_mf
GO:0016208	GO:0016208	AMP binding	2/581	11/5111	0.360793217731813	0.990479766326782	0.930442331312265	PFKP/PFKL	2	go_mf
